CarPlate,Price,Company,Number,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits
ES3818D,38180,CarPlateMart,3818,4,ES,D,7,0,0
EF108H,38108,CarPlateMart,108,3,EF,H,6,0,0
EG2800Z,38000,Carplate,2800,4,EG,Z,7,0,1
SNA39T,38000,Carplate,39,2,SNA,T,6,0,0
SLR38E,38000,Carplate,38,2,SLR,E,6,0,0
EJ9989B,38000,Carplate,9989,4,EJ,B,7,0,1
SW7007P,38000,Carplate,7007,4,SW,P,7,0,1
EU9993E,38000,Carplate,9993,4,EU,E,7,0,1
SLW1544C,38000,Carplate,1544,4,SLW,C,8,0,1
EL9696K,38000,Carplate,9696,4,EL,K,7,0,0
EM238D,38000,CarPlateMart,238,3,EM,D,6,0,0
EC8833K,38000,CarPlateMart,8833,4,EC,K,7,0,1
SL8585M,38000,CarPlateMart,8585,4,SL,M,7,0,0
SDM20B,38000,CarPlateMart,20,2,SDM,B,6,0,0
ES3113D,38000,CarPlateMart,3113,4,ES,D,7,0,1
EB3666P,36660,SGCarMart,3666,4,EB,P,7,0,1
SJX6P,36000,Carplate,6,1,SJX,P,5,0,0
SBQ99C,36000,Carplate,99,2,SBQ,C,6,1,1
EV97X,35800,SGCarMart,97,2,EV,X,5,0,0
E3297P,35000,Carplate,3297,4,E,P,6,0,0
SGN999L,35000,Carplate,999,3,SGN,L,7,1,1
SGA18L,35000,Carplate,18,2,SGA,L,6,0,0
EY3232L,35000,Carplate,3232,4,EY,L,7,0,0
SW4000C,35000,Carplate,4000,4,SW,C,7,0,1
EU1118T,35000,CarPlateMart,1118,4,EU,T,7,0,1
EJ8118E,33888,Carplate,8118,4,EJ,E,7,0,1
ES7788E,33888,Carplate,7788,4,ES,E,7,0,1
EU1212D,33888,Carplate,1212,4,EU,D,7,0,0
SND33T,33888,SGCarMart,33,2,SND,T,6,1,1
EG3330G,33330,Carplate,3330,4,EG,G,7,0,1
SY6191K,33000,Carplate,6191,4,SY,K,7,0,0
EU1100T,33000,Carplate,1100,4,EU,T,7,0,1
EJ3300C,33000,Carplate,3300,4,EJ,C,7,0,1
SDT10T,33000,Carplate,10,2,SDT,T,6,0,0
YJ1Z,33000,SGCarMart,1,1,YJ,Z,4,0,0
EY1133C,33000,CarPlateMart,1133,4,EY,C,7,0,1
SW8883U,32888,Carplate,8883,4,SW,U,7,0,1
SCV32G,32888,Carplate,32,2,SCV,G,6,0,0
EL3838H,32888,Carplate,3838,4,EL,H,7,0,0
EL8881Z,32888,Carplate,8881,4,EL,Z,7,0,1
EH339Y,32888,CarPlateMart,339,3,EH,Y,6,0,1
SLP8888B,32888,CarPlateMart,8888,4,SLP,B,8,1,1
SX8599K,32000,CarPlateMart,8599,4,SX,K,7,0,1
SBJ18Z,31888,Carplate,18,2,SBJ,Z,6,0,0
AP5R,30888,Carplate,5,1,AP,R,4,0,0
SBB111D,30888,Carplate,111,3,SBB,D,7,1,1
ER1199A,30888,Carplate,1199,4,ER,A,7,0,1
AX22Z,30800,Carplate,22,2,AX,Z,5,1,1
EG9669R,30000,Carplate,9669,4,EG,R,7,0,1
SBD222G,30000,Carplate,222,3,SBD,G,7,1,1
SBQ3333G,30000,Carplate,3333,4,SBQ,G,8,1,1
EQ8181J,30000,Carplate,8181,4,EQ,J,7,0,0
SGG25J,30000,Carplate,25,2,SGG,J,6,0,0
SBL25S,30000,Carplate,25,2,SBL,S,6,0,0
SCR13H,30000,Carplate,13,2,SCR,H,6,0,0
SBD80Z,30000,Carplate,80,2,SBD,Z,6,0,0
SKQ18E,29888,SGCarMart,18,2,SKQ,E,6,0,0
SGX29J,29888,CarPlateMart,29,2,SGX,J,6,0,0
SMR33G,29800,SGCarMart,33,2,SMR,G,6,1,1
SNF33H,29800,SGCarMart,33,2,SNF,H,6,1,1
EZ972Z,29720,Carplate,972,3,EZ,Z,6,0,0
SQ952M,29500,CarPlateMart,952,3,SQ,M,6,0,0
E5033X,29299,SGCarMart,5033,4,E,X,6,0,1
SDG11J,29111,SGCarMart,11,2,SDG,J,6,1,1
SDN9999M,29000,SGCarMart,9999,4,SDN,M,8,1,1
SLL23D,28999,SGCarMart,23,2,SLL,D,6,0,0
SJJ12U,28888,Carplate,12,2,SJJ,U,6,0,0
SKP33R,28888,Carplate,33,2,SKP,R,6,1,1
SCH888C,28888,Carplate,888,3,SCH,C,7,1,1
SKA77T,28888,Carplate,77,2,SKA,T,6,1,1
SBD97B,28888,Carplate,97,2,SBD,B,6,0,0
EV8448P,28888,Carplate,8448,4,EV,P,7,0,1
EV1100M,28888,Carplate,1100,4,EV,M,7,0,1
GT99C,28888,Carplate,99,2,GT,C,5,1,1
SQ952M,28888,Carplate,952,3,SQ,M,6,0,0
SCX888T,28888,Carplate,888,3,SCX,T,7,1,1
EH928Y,28888,Carplate,928,3,EH,Y,6,0,0
EY9933H,28888,Carplate,9933,4,EY,H,7,0,1
SDK999M,28888,Carplate,999,3,SDK,M,7,1,1
ET1218T,28888,Carplate,1218,4,ET,T,7,0,0
EP1680L,28888,Carplate,1680,4,EP,L,7,0,0
EV1965J,28888,Carplate,1965,4,EV,J,7,0,0
AT66T,28888,Carplate,66,2,AT,T,5,1,1
SQ983Z,28888,SGCarMart,983,3,SQ,Z,6,0,0
SW703J,28888,SGCarMart,703,3,SW,J,6,0,0
SNC8888X,28888,SGCarMart,8888,4,SNC,X,8,1,1
SJM77S,28888,SGCarMart,77,2,SJM,S,6,1,1
SBJ8888B,28888,SGCarMart,8888,4,SBJ,B,8,1,1
E5978U,28888,SGCarMart,5978,4,E,U,6,0,0
SBZ38G,28888,CarPlateMart,38,2,SBZ,G,6,0,0
EV6677H,28888,CarPlateMart,6677,4,EV,H,7,0,1
EN3000Y,28888,CarPlateMart,3000,4,EN,Y,7,0,1
EN878B,28878,CarPlateMart,878,3,EN,B,6,0,0
SBL288A,28800,Carplate,288,3,SBL,A,7,0,1
EC9710A,28800,SGCarMart,9710,4,EC,A,7,0,0
SNB4M,28800,SGCarMart,4,1,SNB,M,5,0,0
SNB4M,28800,CarPlateMart,4,1,SNB,M,5,0,0
EL9696K,28800,CarPlateMart,9696,4,EL,K,7,0,0
ET1218T,28800,CarPlateMart,1218,4,ET,T,7,0,0
EN678L,28678,SGCarMart,678,3,EN,L,6,0,0
SLG5500L,28500,Carplate,5500,4,SLG,L,8,0,1
SJA44A,28444,Carplate,44,2,SJA,A,6,1,1
ES9000G,28000,Carplate,9000,4,ES,G,7,0,1
SCK28C,28000,Carplate,28,2,SCK,C,6,0,0
SFV111B,28000,Carplate,111,3,SFV,B,7,1,1
SKL9999R,28000,Carplate,9999,4,SKL,R,8,1,1
SGW11P,28000,Carplate,11,2,SGW,P,6,1,1
SBX6666P,28000,Carplate,6666,4,SBX,P,8,1,1
SLN19G,28000,Carplate,19,2,SLN,G,6,0,0
GY2E,28000,Carplate,2,1,GY,E,4,0,0
SBT78Y,28000,Carplate,78,2,SBT,Y,6,0,0
ES638B,28000,Carplate,638,3,ES,B,6,0,0
SW1683B,28000,Carplate,1683,4,SW,B,7,0,0
EQ3033L,28000,Carplate,3033,4,EQ,L,7,0,1
SKP99B,28000,Carplate,99,2,SKP,B,6,1,1
SBC223J,28000,Carplate,223,3,SBC,J,7,0,1
EW1818X,28000,SGCarMart,1818,4,EW,X,7,0,0
SJC10L,28000,SGCarMart,10,2,SJC,L,6,0,0
EG202M,28000,SGCarMart,202,3,EG,M,6,0,0
SMX17Y,28000,CarPlateMart,17,2,SMX,Y,6,0,0
SFM13Z,28000,CarPlateMart,13,2,SFM,Z,6,0,0
E7355S,28000,CarPlateMart,7355,4,E,S,6,0,1
EV8686T,28000,CarPlateMart,8686,4,EV,T,7,0,0
SBH44H,28000,CarPlateMart,44,2,SBH,H,6,1,1
SBQ99C,28000,CarPlateMart,99,2,SBQ,C,6,1,1
EN3232U,27800,SGCarMart,3232,4,EN,U,7,0,0
SJP860G,27800,CarPlateMart,860,3,SJP,G,7,0,0
SMS7777S,27777,SGCarMart,7777,4,SMS,S,8,1,1
SFK7777S,27000,Carplate,7777,4,SFK,S,8,1,1
SMG98C,26888,Carplate,98,2,SMG,C,6,0,0
SMD26B,26888,SGCarMart,26,2,SMD,B,6,0,0
SNA28A,26888,SGCarMart,28,2,SNA,A,6,0,0
SJZ8888Y,26800,SGCarMart,8888,4,SJZ,Y,8,1,1
SW7988H,26800,SGCarMart,7988,4,SW,H,7,0,1
SNC888Z,26800,CarPlateMart,888,3,SNC,Z,7,1,1
SKL9999R,26000,CarPlateMart,9999,4,SKL,R,8,1,1
SLM77T,25888,Carplate,77,2,SLM,T,6,1,1
SJZ18U,25888,Carplate,18,2,SJZ,U,6,0,0
SBG5555Y,25888,Carplate,5555,4,SBG,Y,8,1,1
SBH777B,25888,Carplate,777,3,SBH,B,7,1,1
SFV888T,25888,Carplate,888,3,SFV,T,7,1,1
SDA99M,25888,Carplate,99,2,SDA,M,6,1,1
SDQ22A,25888,Carplate,22,2,SDQ,A,6,1,1
SGP444K,25888,Carplate,444,3,SGP,K,7,1,1
SBR19D,25888,SGCarMart,19,2,SBR,D,6,0,0
SKX777K,25888,CarPlateMart,777,3,SKX,K,7,1,1
SJB10S,25800,Carplate,10,2,SJB,S,6,0,0
SJH777G,25777,Carplate,777,3,SJH,G,7,1,1
SKX777K,25777,Carplate,777,3,SKX,K,7,1,1
ES9338H,25000,Carplate,9338,4,ES,H,7,0,1
E6783H,25000,Carplate,6783,4,E,H,6,0,0
SX5466E,25000,Carplate,5466,4,SX,E,7,0,1
AG12S,25000,Carplate,12,2,AG,S,5,0,0
GP5U,25000,Carplate,5,1,GP,U,4,0,0
SFG44R,25000,Carplate,44,2,SFG,R,6,1,1
EY7873K,25000,Carplate,7873,4,EY,K,7,0,0
SJX21U,25000,Carplate,21,2,SJX,U,6,0,0
AM24B,25000,Carplate,24,2,AM,B,5,0,0
AM58D,25000,Carplate,58,2,AM,D,5,0,0
SNC77Y,25000,SGCarMart,77,2,SNC,Y,6,1,1
SJZ18U,25000,SGCarMart,18,2,SJZ,U,6,0,0
SMX6666J,25000,SGCarMart,6666,4,SMX,J,8,1,1
SX5466E,25000,CarPlateMart,5466,4,SX,E,7,0,1
SJS99Y,25000,CarPlateMart,99,2,SJS,Y,6,1,1
SMU33R,24888,Carplate,33,2,SMU,R,6,1,1
EZ246L,24888,Carplate,246,3,EZ,L,6,0,0
SBE30M,24888,Carplate,30,2,SBE,M,6,0,0
SDV6666B,24888,SGCarMart,6666,4,SDV,B,8,1,1
SGJ55G,24888,SGCarMart,55,2,SGJ,G,6,1,1
SGL6666T,24888,SGCarMart,6666,4,SGL,T,8,1,1
SBD44D,24888,SGCarMart,44,2,SBD,D,6,1,1
EF1818K,24888,CarPlateMart,1818,4,EF,K,7,0,0
FJ8E,24800,Carplate,8,1,FJ,E,4,0,0
SDT4L,24444,Carplate,4,1,SDT,L,5,0,0
SNB4M,24000,Carplate,4,1,SNB,M,5,0,0
SV5251T,24000,CarPlateMart,5251,4,SV,T,7,0,0
SKS111H,23888,Carplate,111,3,SKS,H,7,1,1
SNF9999L,23888,Carplate,9999,4,SNF,L,8,1,1
SP8934T,23888,Carplate,8934,4,SP,T,7,0,0
SLB55P,23888,Carplate,55,2,SLB,P,6,1,1
SNC33Z,23888,Carplate,33,2,SNC,Z,6,1,1
SMW11T,23888,Carplate,11,2,SMW,T,6,1,1
EQ823T,23888,Carplate,823,3,EQ,T,6,0,0
EW717K,23888,Carplate,717,3,EW,K,6,0,0
SFX21S,23888,Carplate,21,2,SFX,S,6,0,0
SGZ23P,23888,Carplate,23,2,SGZ,P,6,0,0
SFA6666M,23888,Carplate,6666,4,SFA,M,8,1,1
SCF777A,23888,Carplate,777,3,SCF,A,7,1,1
SLL101L,23888,CarPlateMart,101,3,SLL,L,7,0,0
SDD100B,23800,SGCarMart,100,3,SDD,B,7,0,1
SLM55G,23800,SGCarMart,55,2,SLM,G,6,1,1
EQ9988S,23800,CarPlateMart,9988,4,EQ,S,7,0,1
SLV11K,23800,CarPlateMart,11,2,SLV,K,6,1,1
EJ7377E,23777,Carplate,7377,4,EJ,E,7,0,1
SME333J,23333,Carplate,333,3,SME,J,7,1,1
EG3330G,23333,CarPlateMart,3330,4,EG,G,7,0,1
SMQ22T,23300,SGCarMart,22,2,SMQ,T,6,1,1
SNF9999L,23200,CarPlateMart,9999,4,SNF,L,8,1,1
EH2223J,23000,Carplate,2223,4,EH,J,7,0,1
SKT9999Z,23000,SGCarMart,9999,4,SKT,Z,8,1,1
SJV7777L,22888,Carplate,7777,4,SJV,L,8,1,1
ET7117L,22888,Carplate,7117,4,ET,L,7,0,1
EL2268J,22888,Carplate,2268,4,EL,J,7,0,1
EW1221S,22888,Carplate,1221,4,EW,S,7,0,1
EP8883Y,22888,Carplate,8883,4,EP,Y,7,0,1
SJA10Y,22888,Carplate,10,2,SJA,Y,6,0,0
SFQ55G,22888,Carplate,55,2,SFQ,G,6,1,1
SKK1111T,22888,Carplate,1111,4,SKK,T,8,1,1
YK9Y,22888,SGCarMart,9,1,YK,Y,4,0,0
EJ1313D,22888,SGCarMart,1313,4,EJ,D,7,0,0
SBG30C,22888,CarPlateMart,30,2,SBG,C,6,0,0
SNC55K,22800,SGCarMart,55,2,SNC,K,6,1,1
SLU28T,22800,SGCarMart,28,2,SLU,T,6,0,0
SDY77A,22800,SGCarMart,77,2,SDY,A,6,1,1
SLB55P,22500,SGCarMart,55,2,SLB,P,6,1,1
SNC22E,22222,Carplate,22,2,SNC,E,6,1,1
SGC66L,22222,SGCarMart,66,2,SGC,L,6,1,1
SMM46X,22000,Carplate,46,2,SMM,X,6,0,0
EW378E,22000,Carplate,378,3,EW,E,6,0,0
SBD44D,22000,Carplate,44,2,SBD,D,6,1,1
SBH44H,22000,Carplate,44,2,SBH,H,6,1,1
SND55E,22000,SGCarMart,55,2,SND,E,6,1,1
SND22A,22000,SGCarMart,22,2,SND,A,6,1,1
SFZ28M,22000,CarPlateMart,28,2,SFZ,M,6,0,0
EL6655Z,22000,CarPlateMart,6655,4,EL,Z,7,0,1
SCU111S,21888,Carplate,111,3,SCU,S,7,1,1
ED1118H,21888,Carplate,1118,4,ED,H,7,0,1
EX9889H,21888,SGCarMart,9889,4,EX,H,7,0,1
EX8383G,21888,SGCarMart,8383,4,EX,G,7,0,0
EZ246L,21800,SGCarMart,246,3,EZ,L,6,0,0
SE7133C,21800,SGCarMart,7133,4,SE,C,7,0,1
SNE55A,21800,SGCarMart,55,2,SNE,A,6,1,1
SLC9999B,21000,CarPlateMart,9999,4,SLC,B,8,1,1
EJ142L,20888,Carplate,142,3,EJ,L,6,0,0
SMY111C,20888,Carplate,111,3,SMY,C,7,1,1
SLJ111T,20888,Carplate,111,3,SLJ,T,7,1,1
SJC77U,20888,Carplate,77,2,SJC,U,6,1,1
SML20A,20888,SGCarMart,20,2,SML,A,6,0,0
SMV10B,20888,CarPlateMart,10,2,SMV,B,6,0,0
SDM888P,20800,CarPlateMart,888,3,SDM,P,7,1,1
SBW77J,20777,SGCarMart,77,2,SBW,J,6,1,1
SFZ28M,20000,Carplate,28,2,SFZ,M,6,0,0
SBN555T,20000,Carplate,555,3,SBN,T,7,1,1
SJA180P,20000,Carplate,180,3,SJA,P,7,0,0
SKP911G,20000,Carplate,911,3,SKP,G,7,0,1
SDH555B,20000,Carplate,555,3,SDH,B,7,1,1
SCR96T,20000,Carplate,96,2,SCR,T,6,0,0
SJK699H,20000,Carplate,699,3,SJK,H,7,0,1
SBB8228Z,20000,Carplate,8228,4,SBB,Z,8,0,1
SBK94Y,20000,Carplate,94,2,SBK,Y,6,0,0
EK4477P,20000,Carplate,4477,4,EK,P,7,0,1
SGR8899T,20000,Carplate,8899,4,SGR,T,8,0,1
EN1119C,20000,Carplate,1119,4,EN,C,7,0,1
SGR168Y,20000,Carplate,168,3,SGR,Y,7,0,0
SBJ25C,20000,Carplate,25,2,SBJ,C,6,0,0
ET1288R,20000,Carplate,1288,4,ET,R,7,0,1
AW666X,20000,Carplate,666,3,AW,X,6,1,1
SJY48M,20000,Carplate,48,2,SJY,M,6,0,0
SDV8881H,20000,Carplate,8881,4,SDV,H,8,0,1
SGB17J,20000,SGCarMart,17,2,SGB,J,6,0,0
SLT55U,20000,SGCarMart,55,2,SLT,U,6,1,1
SME12K,20000,CarPlateMart,12,2,SME,K,6,0,0
ET5558K,20000,CarPlateMart,5558,4,ET,K,7,0,1
SGK17L,20000,CarPlateMart,17,2,SGK,L,6,0,0
EL9988T,20000,CarPlateMart,9988,4,EL,T,7,0,1
SDW60H,20000,CarPlateMart,60,2,SDW,H,6,0,0
EW876J,20000,CarPlateMart,876,3,EW,J,6,0,0
SKG800R,20000,CarPlateMart,800,3,SKG,R,7,0,1
SFR30Y,20000,CarPlateMart,30,2,SFR,Y,6,0,0
SDY11P,20000,CarPlateMart,11,2,SDY,P,6,1,1
SLD19J,19999,Carplate,19,2,SLD,J,6,0,0
SJV7777L,19999,CarPlateMart,7777,4,SJV,L,8,1,1
SCX19K,19999,CarPlateMart,19,2,SCX,K,6,0,0
ER1999H,19999,CarPlateMart,1999,4,ER,H,7,0,1
SDT1991E,19991,Carplate,1991,4,SDT,E,8,0,1
EQ3322C,19900,SGCarMart,3322,4,EQ,C,7,0,1
SBM91U,19888,Carplate,91,2,SBM,U,6,0,0
SGV111P,19888,Carplate,111,3,SGV,P,7,1,1
SDX15J,19888,Carplate,15,2,SDX,J,6,0,0
SNC7777P,19888,Carplate,7777,4,SNC,P,8,1,1
SBE30M,19888,SGCarMart,30,2,SBE,M,6,0,0
SNC7777P,19888,SGCarMart,7777,4,SNC,P,8,1,1
SNE77L,19888,SGCarMart,77,2,SNE,L,6,1,1
EE2821Z,19888,SGCarMart,2821,4,EE,Z,7,0,0
SNC7777P,19888,CarPlateMart,7777,4,SNC,P,8,1,1
SFM69M,19888,CarPlateMart,69,2,SFM,M,6,0,0
SMZ55B,19800,SGCarMart,55,2,SMZ,B,6,1,1
SFT2222L,19800,SGCarMart,2222,4,SFT,L,8,1,1
EP554A,19800,SGCarMart,554,3,EP,A,6,0,1
EB8778S,19800,CarPlateMart,8778,4,EB,S,7,0,1
SME13H,19800,CarPlateMart,13,2,SME,H,6,0,0
SDR9384R,19384,Carplate,9384,4,SDR,R,8,0,0
SMS92E,19200,CarPlateMart,92,2,SMS,E,6,0,0
S800H,19000,Carplate,800,3,S,H,5,0,1
SBJ91K,19000,Carplate,91,2,SBJ,K,6,0,0
SGT63E,19000,SGCarMart,63,2,SGT,E,6,0,0
SMF4D,19000,CarPlateMart,4,1,SMF,D,5,0,0
SDK25Z,18999,CarPlateMart,25,2,SDK,Z,6,0,0
SBG36L,18888,Carplate,36,2,SBG,L,6,0,0
SGW111J,18888,Carplate,111,3,SGW,J,7,1,1
SJK68D,18888,Carplate,68,2,SJK,D,6,0,0
EU7979K,18888,Carplate,7979,4,EU,K,7,0,0
EQ9988S,18888,Carplate,9988,4,EQ,S,7,0,1
SME111H,18888,Carplate,111,3,SME,H,7,1,1
SMT888X,18888,Carplate,888,3,SMT,X,7,1,1
EV379H,18888,Carplate,379,3,EV,H,6,0,0
SDL555E,18888,Carplate,555,3,SDL,E,7,1,1
SLG18X,18888,Carplate,18,2,SLG,X,6,0,0
SNB333M,18888,Carplate,333,3,SNB,M,7,1,1
EX8383G,18888,Carplate,8383,4,EX,G,7,0,0
EH9009R,18888,Carplate,9009,4,EH,R,7,0,1
SMY5555Y,18888,Carplate,5555,4,SMY,Y,8,1,1
SNA27C,18888,Carplate,27,2,SNA,C,6,0,0
SLP111L,18888,Carplate,111,3,SLP,L,7,1,1
SBN32K,18888,Carplate,32,2,SBN,K,6,0,0
ES1600C,18888,Carplate,1600,4,ES,C,7,0,1
SDY2222J,18888,Carplate,2222,4,SDY,J,8,1,1
SFJ8881Y,18888,Carplate,8881,4,SFJ,Y,8,0,1
E7385S,18888,Carplate,7385,4,E,S,6,0,0
SBC44J,18888,Carplate,44,2,SBC,J,6,1,1
EK3355P,18888,Carplate,3355,4,EK,P,7,0,1
SDD828K,18888,Carplate,828,3,SDD,K,7,0,0
SBT14G,18888,SGCarMart,14,2,SBT,G,6,0,0
SLC65E,18888,SGCarMart,65,2,SLC,E,6,0,0
SBL95P,18888,SGCarMart,95,2,SBL,P,6,0,0
SW1783X,18888,SGCarMart,1783,4,SW,X,7,0,0
SMN24D,18888,SGCarMart,24,2,SMN,D,6,0,0
SMM3888M,18888,CarPlateMart,3888,4,SMM,M,8,0,1
SLP82L,18888,CarPlateMart,82,2,SLP,L,6,0,0
SBZ62K,18888,CarPlateMart,62,2,SBZ,K,6,0,0
EU6565C,18888,CarPlateMart,6565,4,EU,C,7,0,0
SCU111S,18888,CarPlateMart,111,3,SCU,S,7,1,1
SLM885C,18850,Carplate,885,3,SLM,C,7,0,1
SGR35Y,18800,Carplate,35,2,SGR,Y,6,0,0
GBJ88X,18800,Carplate,88,2,GBJ,X,6,1,1
SMY27M,18800,SGCarMart,27,2,SMY,M,6,0,0
SKV28A,18800,SGCarMart,28,2,SKV,A,6,0,0
SNB111L,18800,SGCarMart,111,3,SNB,L,7,1,1
SLX55Z,18800,SGCarMart,55,2,SLX,Z,6,1,1
SFP22G,18800,SGCarMart,22,2,SFP,G,6,1,1
SDL22B,18800,CarPlateMart,22,2,SDL,B,6,1,1
SFT69B,18800,CarPlateMart,69,2,SFT,B,6,0,0
SFP22G,18800,CarPlateMart,22,2,SFP,G,6,1,1
SJH777G,18800,CarPlateMart,777,3,SJH,G,7,1,1
SJM113B,18800,CarPlateMart,113,3,SJM,B,7,0,1
SDA333L,18800,CarPlateMart,333,3,SDA,L,7,1,1
SKX87T,18787,CarPlateMart,87,2,SKX,T,6,0,0
SKP1818L,18181,Carplate,1818,4,SKP,L,8,0,0
SMN55P,18100,SGCarMart,55,2,SMN,P,6,1,1
EM7889D,18000,Carplate,7889,4,EM,D,7,0,1
SKT20G,18000,Carplate,20,2,SKT,G,6,0,0
EJ8111Z,18000,Carplate,8111,4,EJ,Z,7,0,1
SBR3228Y,18000,Carplate,3228,4,SBR,Y,8,0,1
SDP61S,18000,Carplate,61,2,SDP,S,6,0,0
EX8618E,18000,Carplate,8618,4,EX,E,7,0,0
SJU7777S,18000,Carplate,7777,4,SJU,S,8,1,1
EU1222A,18000,Carplate,1222,4,EU,A,7,0,1
YM3C,18000,Carplate,3,1,YM,C,4,0,0
EW3311C,18000,Carplate,3311,4,EW,C,7,0,1
SJD81B,18000,Carplate,81,2,SJD,B,6,0,0
SMQ1818H,18000,Carplate,1818,4,SMQ,H,8,0,0
SBH808X,18000,Carplate,808,3,SBH,X,7,0,0
EG6363S,18000,Carplate,6363,4,EG,S,7,0,0
SCH28T,18000,Carplate,28,2,SCH,T,6,0,0
SNE15R,18000,SGCarMart,15,2,SNE,R,6,0,0
SFY2222K,18000,SGCarMart,2222,4,SFY,K,8,1,1
SDJ15H,18000,CarPlateMart,15,2,SDJ,H,6,0,0
EQ2888T,18000,CarPlateMart,2888,4,EQ,T,7,0,1
EJ142L,18000,CarPlateMart,142,3,EJ,L,6,0,0
SKT20G,18000,CarPlateMart,20,2,SKT,G,6,0,0
SMP30A,18000,CarPlateMart,30,2,SMP,A,6,0,0
SDS75L,18000,CarPlateMart,75,2,SDS,L,6,0,0
SBA44U,18000,CarPlateMart,44,2,SBA,U,6,1,1
SML21Y,18000,CarPlateMart,21,2,SML,Y,6,0,0
EJ8811L,18000,CarPlateMart,8811,4,EJ,L,7,0,1
SDS76J,18000,CarPlateMart,76,2,SDS,J,6,0,0
SBF44S,18000,CarPlateMart,44,2,SBF,S,6,1,1
SJR38D,18000,CarPlateMart,38,2,SJR,D,6,0,0
SMT111D,18000,CarPlateMart,111,3,SMT,D,7,1,1
SLK30M,17999,SGCarMart,30,2,SLK,M,6,0,0
SMV16K,17888,Carplate,16,2,SMV,K,6,0,0
SFL178L,17800,Carplate,178,3,SFL,L,7,0,0
SNB10U,17800,SGCarMart,10,2,SNB,U,6,0,0
EP8833S,17800,SGCarMart,8833,4,EP,S,7,0,1
SKZ55A,17800,SGCarMart,55,2,SKZ,A,6,1,1
SND19K,17800,SGCarMart,19,2,SND,K,6,0,0
EU7123M,17800,CarPlateMart,7123,4,EU,M,7,0,0
SDW13U,17800,CarPlateMart,13,2,SDW,U,6,0,0
SJJ770P,17770,Carplate,770,3,SJJ,P,7,0,1
SLD3333G,17000,Carplate,3333,4,SLD,G,8,1,1
SBB91C,17000,Carplate,91,2,SBB,C,6,0,0
SBK17X,17000,CarPlateMart,17,2,SBK,X,6,0,0
SGP40S,16999,SGCarMart,40,2,SGP,S,6,0,0
SNE68M,16888,Carplate,68,2,SNE,M,6,0,0
SBE93G,16888,Carplate,93,2,SBE,G,6,0,0
EV9800Z,16888,Carplate,9800,4,EV,Z,7,0,1
EA6978A,16888,Carplate,6978,4,EA,A,7,0,0
SCK168G,16888,Carplate,168,3,SCK,G,7,0,0
SDX777T,16888,Carplate,777,3,SDX,T,7,1,1
SDW555Y,16888,Carplate,555,3,SDW,Y,7,1,1
SGP3888T,16888,Carplate,3888,4,SGP,T,8,0,1
SBD333U,16888,Carplate,333,3,SBD,U,7,1,1
FN2A,16888,Carplate,2,1,FN,A,4,0,0
EH9111C,16888,Carplate,9111,4,EH,C,7,0,1
SFM69M,16888,Carplate,69,2,SFM,M,6,0,0
SGW222Y,16888,Carplate,222,3,SGW,Y,7,1,1
EZ1181H,16888,Carplate,1181,4,EZ,H,7,0,1
EK9922M,16888,Carplate,9922,4,EK,M,7,0,1
EV379H,16888,SGCarMart,379,3,EV,H,6,0,0
EU203L,16888,SGCarMart,203,3,EU,L,6,0,0
SLF168B,16888,SGCarMart,168,3,SLF,B,7,0,0
SMZ16P,16888,SGCarMart,16,2,SMZ,P,6,0,0
EQ4682G,16888,SGCarMart,4682,4,EQ,G,7,0,0
SBL25S,16888,SGCarMart,25,2,SBL,S,6,0,0
SND20E,16888,SGCarMart,20,2,SND,E,6,0,0
EN5533M,16888,CarPlateMart,5533,4,EN,M,7,0,1
SGN8888X,16888,CarPlateMart,8888,4,SGN,X,8,1,1
SMZ22X,16800,SGCarMart,22,2,SMZ,X,6,1,1
EV9800Z,16800,SGCarMart,9800,4,EV,Z,7,0,1
SMM62Z,16800,SGCarMart,62,2,SMM,Z,6,0,0
EU7979K,16800,SGCarMart,7979,4,EU,K,7,0,0
SNC89M,16800,CarPlateMart,89,2,SNC,M,6,0,0
SMT6662R,16662,Carplate,6662,4,SMT,R,8,0,1
SLU5555E,16555,Carplate,5555,4,SLU,E,8,1,1
SLV5555A,16555,Carplate,5555,4,SLV,A,8,1,1
SLV5555A,16500,CarPlateMart,5555,4,SLV,A,8,1,1
EU6336Y,16336,SGCarMart,6336,4,EU,Y,7,0,1
SFF90L,16000,Carplate,90,2,SFF,L,6,0,0
EZ7128Z,16000,Carplate,7128,4,EZ,Z,7,0,0
SDR1616A,16000,Carplate,1616,4,SDR,A,8,0,0
SJG20L,16000,CarPlateMart,20,2,SJG,L,6,0,0
SCR62R,16000,CarPlateMart,62,2,SCR,R,6,0,0
SCX87M,16000,CarPlateMart,87,2,SCX,M,6,0,0
FBR9966K,15999,Carplate,9966,4,FBR,K,8,0,1
EP2298B,15988,Carplate,2298,4,EP,B,7,0,1
EP2298B,15988,CarPlateMart,2298,4,EP,B,7,0,1
SBE59G,15959,SGCarMart,59,2,SBE,G,6,0,0
SNC59A,15888,Carplate,59,2,SNC,A,6,0,0
SKZ10D,15888,Carplate,10,2,SKZ,D,6,0,0
FR11H,15888,Carplate,11,2,FR,H,5,1,1
FY11R,15888,Carplate,11,2,FY,R,5,1,1
